Name	Latitude	Longitude	max_amount	min_amount	food_level	open_month	close_month	year_build
To the Lighthouse	35.10099329	37.93947163	421	86	9	2	6	
Alice Adventures in Wonderland	63.35849168	-34.3832039	496	197	9	5	9	
Game of Thrones	1.488915746	-59.92109248	351	168	1	5	9	
Moby Dick	-0.118548852	-27.92745803	429	163	7	2	7	
Pride and Prejudice	-54.08495284	-47.97036743	437	100	5	3	6	
In Search of Lost Time	25.33849291	-14.93324957	348	79	10	1	6	
The Flowers of Evil	41.16383516	-58.37984074	335	184	4	2	10	
The Divine Comedy	54.20868076	-43.70742699	493	141	6	4	6	
Anna Karenina	12.55197322	69.9983956	452	119	7	1	9	
To the Lighthouse	-35.23519563	-11.98736003	338	69	2	5	7	
One Thousand and One Nights	21.64653588	-37.52379538	500	137	7	2	10	
The Good Soldier	35.45845669	58.7235843	426	184	4	2	10	
One Hundred Years of Solitude	-15.68081438	31.12581862	360	198	4	4	7	
The Flowers of Evil	56.37544806	-41.10832186	308	185	1	3	8	
Tess of the d'Urbervilles	-44.22205403	2.334994653	435	90	10	1	9	
The Good Soldier	-31.35875703	65.88505574	381	146	4	5	7	
War and Peace	42.96297072	-60.28354536	357	97	6	5	6	
One Thousand and One Nights	41.21521365	3.312051671	493	133	2	5	6	
Paradise Lost	-51.44548708	-37.97032304	480	148	9	1	6	
The Flowers of Evil	-27.43757223	-24.334363	500	197	9	3	9	
Les Misérables	24.23582929	-69.34012024	338	171	4	2	6	
The Old Man and the Sea	17.59716214	6.295816678	398	116	5	3	6	
The Flowers of Evil	-40.80632338	37.07542455	480	182	1	2	7	
Vanity Fair	-17.26781879	41.83001762	420	191	4	5	10	
The Magic Mountain	12.70746035	67.62837217	301	139	6	3	9	
Tristram Shandy	-67.23533718	68.51525271	411	136	2	2	10	
The Great Gatsby	-0.018300392	38.09989888	398	74	1	3	7	
Vanity Fair	8.227370323	45.4201492	484	174	6	3	9	
The Sound and the Fury	-58.11635395	2.250781221	388	145	5	1	6	
Gargantua and Pantagruel	54.98304619	4.922313365	348	170	10	1	8	
David Copperfield	-3.773875863	30.99900275	349	174	10	1	9	
The Magic Mountain	-60.30663386	-1.493206178	370	126	4	1	9	
Paradise Lost	-37.13024906	-57.4109879	500	105	10	1	9	
Hamlet	32.26866103	40.22195463	402	117	6	5	9	
The Sun Also Rises	54.36330879	-33.47739672	319	115	1	3	7	
Nineteen Eighty Four	41.40319132	-0.973582782	306	78	2	4	7	
David Copperfield	64.55178717	-48.85247094	446	79	1	4	10	
Tess of the d'Urbervilles	57.09199159	26.38274652	403	104	5	2	9	
Don Quixote	-56.2403299	0.846449471	465	143	7	2	6	
The Lord of The Rings	-17.00596831	-67.89447719	428	77	3	5	10	
Pride and Prejudice	-68.05830117	-1.54566759	398	191	5	4	9	
Vanity Fair	-47.51477983	24.79725275	323	88	1	2	10	
Gulliver's Travels	-59.56412093	-21.27935045	374	85	10	1	8	
 Oedipus at Colonus	4.94104699	-51.34717019	493	170	4	2	7	
The Magic Mountain	-27.55966045	12.20502185	495	197	9	4	10	
Gulliver's Travels	68.18513512	-64.11040486	413	121	6	2	7	
The Canterbury Tales	64.79186718	47.47663376	327	155	2	3	6	
Hamlet	-62.47051007	-5.327095975	319	89	2	5	7	
Wuthering Heights	-6.613843248	-55.51941549	460	64	10	5	9	
Invisible Man	-55.95865149	-7.424384095	388	95	1	2	9	
The Good Soldier	-41.02386045	29.79398628	339	112	2	4	7	
To the Lighthouse	6.76747901	66.88890268	314	185	5	1	7	
Gulliver's Travels	52.23895666	4.21368789	455	132	7	5	7	
Moby Dick	16.59253137	-63.58764191	378	154	4	1	7	
Ulysses	-17.50371635	-6.103258481	431	157	3	3	8	
Robinson Crusoe	-63.08826082	68.88496602	490	97	4	3	6	
The Magic Mountain	-28.14216293	36.78134374	315	53	9	5	10	
The Canterbury Tales	-45.24894403	-20.53930296	353	83	5	1	10	
The Grapes of Wrath	-1.967702557	5.642163912	342	112	3	3	7	
The Canterbury Tales	-60.75097582	-20.04338759	342	65	5	3	10	
The Red and the Black	-8.896431869	28.64951845	424	184	5	4	7	
Nineteen Eighty Four	-10.61290641	-18.47250772	432	165	6	1	9	
The Grapes of Wrath	-1.374570663	-54.14370546	346	185	9	4	8	
The Handmaid's Tale	48.32897094	56.47594449	410	151	8	5	9	
The Brothers Karamazov 	14.37991801	-21.91768474	500	77	9	5	10	
